Date,Open,High,Low,Close,Adj Close,Volume
8/15/2018,57.25,57.799999,55.299999,56.150002,56.150002,779500
8/16/2018,56.959999,57.91,56.060001,57.689999,57.689999,620200
8/17/2018,57.470001,59.400002,56.355,58.68,58.68,611200
8/20/2018,58.91,62,57.900002,61.220001,61.220001,1395400
8/21/2018,61.689999,63.799999,61.560001,62.5,62.5,1380900
8/22/2018,62.299999,63.367001,60.34,61.84,61.84,870200
8/23/2018,61.860001,64.939003,61.860001,63.900002,63.900002,1279300
8/24/2018,64.25,67.209999,64,65.540001,65.540001,1133400
8/27/2018,66.989998,67.709999,64.629997,65.529999,65.529999,1053100
8/28/2018,66,68.349998,65.720001,66.300003,66.300003,1225400
8/29/2018,66.5,68.019997,65.75,67.870003,67.870003,862000
8/30/2018,67.300003,67.400002,64.550003,65,65,1578700
8/31/2018,64.470001,65.360001,62.189999,62.439999,62.439999,2944300
9/4/2018,62.799999,65.699997,60.830002,64.849998,64.849998,2580000
9/5/2018,64.690002,65.870003,62.549999,63.099998,63.099998,3291500
9/6/2018,59.080002,59.900002,56.790001,57.849998,57.849998,4455900
9/7/2018,56.799999,59.669998,56.259998,56.939999,56.939999,2294600
9/10/2018,58,58.240002,53.639999,53.93,53.93,3048000
9/11/2018,53.75,54.799999,52.830002,53.959999,53.959999,1870500
9/12/2018,53.02,57.560001,53.02,57.18,57.18,2644100
9/13/2018,57.25,57.490002,55.060001,55.369999,55.369999,2103800
9/14/2018,55.299999,55.299999,53.43,53.790001,53.790001,6557200
9/17/2018,53.849998,54.889999,51.599998,52.18,52.18,2705900
9/18/2018,52.23,53.400002,51.650002,53.029999,53.029999,1750400
9/19/2018,52.77,53.099998,51.5,51.73,51.73,1230000
9/20/2018,52.32,52.689999,51.119999,52.23,52.23,1521300
9/21/2018,52.93,53.32,51.782001,52.540001,52.540001,2218600
9/24/2018,52.099998,52.330002,51.400002,51.830002,51.830002,1570800
9/25/2018,52.16,53.709999,51.619999,53.400002,53.400002,1783200
9/26/2018,53.509998,54.02,52.439999,52.540001,52.540001,1608700
9/27/2018,52.639999,53.75,52.25,52.82,52.82,1914700
9/28/2018,52.77,53.029999,52.099998,52.57,52.57,1560200
10/1/2018,52.98,53,48.560001,48.849998,48.849998,4153300
10/2/2018,49.189999,49.243,45.040001,46.400002,46.400002,5206200
10/3/2018,46.400002,47.735001,45.299999,47.110001,47.110001,2895200
10/4/2018,46.900002,47.549999,44.900002,45.799999,45.799999,1631800
10/5/2018,45.650002,46.029999,43.52,45.27,45.27,1629700
10/8/2018,44.630001,45,42.25,43.23,43.23,2104000
10/9/2018,42.98,45,41.330002,41.509998,41.509998,2132800
10/10/2018,42.029999,42.029999,38.279999,40.599998,40.599998,3681000
10/11/2018,39.82,41.650002,39.341999,40.25,40.25,2719000
10/12/2018,42.09,45,41.709999,44.639999,44.639999,3386100
10/15/2018,44.439999,45.16,42.639999,43.830002,43.830002,1208200
10/16/2018,44.75,48.009998,44.52,47.720001,47.720001,2432800
10/17/2018,48,48.147999,46.5,47.52,47.52,1559000
10/18/2018,47.029999,48.299999,45.549999,46.240002,46.240002,1453500
10/19/2018,46.299999,46.5,41.599998,42.005001,42.005001,2709900
10/22/2018,42.720001,43.700001,41.800999,42.459999,42.459999,1326300
10/23/2018,41.330002,42.279999,40.709999,41.330002,41.330002,2047200
10/24/2018,40.5,41.16,39.119999,39.169998,39.169998,4252000
10/25/2018,39.099998,40.82,38.549999,40.32,40.32,2771800
10/26/2018,39.509998,41.34,38.549999,41.18,41.18,2737800
10/29/2018,42.279999,43,39.049999,40.349998,40.349998,1765900
10/30/2018,40.16,42,39.810001,41.740002,41.740002,1640600
10/31/2018,42.049999,43.200001,41.470001,41.939999,41.939999,2352800
11/1/2018,42.139999,42.560001,40.349998,41.849998,41.849998,1741500
11/2/2018,42,43.360001,41.209999,42.82,42.82,1813200
11/5/2018,42.630001,42.990002,40.900002,42.41,42.41,1394200
11/6/2018,41.98,42.900002,41.470001,42.549999,42.549999,917400
11/7/2018,43,44.599998,42.57,43.880001,43.880001,2883800
11/8/2018,43.990002,45.150002,43.799999,44.82,44.82,2081200
11/9/2018,44.32,45,43.360001,44.43,44.43,994700
11/12/2018,44.450001,44.450001,40.740002,41.34,41.34,2260000
11/13/2018,41.700001,43.080002,41.380001,42.59,42.59,931300
11/14/2018,43.07,43.150002,39.68,39.860001,39.860001,2109600
11/15/2018,39.639999,40.439999,38.299999,40.369999,40.369999,2063400
11/16/2018,40,40.009998,38.599998,39,39,1612400
11/19/2018,38.849998,39.77,36.139999,37.41,37.41,2643200
11/20/2018,35.549999,38.580002,35.060001,38.330002,38.330002,3089400
11/21/2018,39.599998,41.360001,38.900002,40.759998,40.759998,2087500
11/23/2018,40.419998,41.240002,40.02,40.82,40.82,425400
11/26/2018,41.330002,42,40.27,41.110001,41.110001,1262500
11/27/2018,40.77,41.25,39.84,40.639999,40.639999,997200
11/28/2018,41.029999,42.5,40.919998,41.82,41.82,1766600
11/29/2018,41.75,42.509998,41.110001,41.77,41.77,1355000
11/30/2018,41.904999,42.412998,40.139999,41.759998,41.759998,1190100
12/3/2018,42.720001,42.919998,41.77,42.52,42.52,1920200
12/4/2018,42.150002,42.939999,41.16,41.470001,41.470001,2656300
12/6/2018,40.060001,41.98,40.049999,41.77,41.77,3002300
12/7/2018,42,43.220001,38.75,39.66,39.66,4744700
12/10/2018,38.759998,41.060001,38.759998,40.689999,40.689999,2797900
12/11/2018,39.669998,41.66,39.400002,41.66,41.66,4912000
12/12/2018,41.66,43.32,41.66,42.400002,42.400002,4112900
12/13/2018,42.23,43.32,42.139999,43.150002,43.150002,3293800
12/14/2018,42.27,43.32,41.610001,42.889999,42.889999,3513400
12/17/2018,42.509998,43.349998,41.23,41.75,41.75,4276100
12/18/2018,41.830002,42.57,40.883999,41.869999,41.869999,5487300
12/19/2018,41.209999,42.02,40.759998,41.110001,41.110001,4239200
12/20/2018,40.900002,41.740002,39.02,39.91,39.91,4337500
12/21/2018,39.82,40.869999,37.27,37.990002,37.990002,8327900
12/24/2018,37.290001,37.959999,36.249001,37.48,37.48,1374800
12/26/2018,37.830002,39.720001,37.57,39.650002,39.650002,1532900
12/27/2018,39.099998,41,39,40.990002,40.990002,1549500
12/28/2018,40.990002,41.049999,39.889999,40.5,40.5,2522700
12/31/2018,40.599998,40.98,39.150002,40.080002,40.080002,2255900
1/2/2019,39.27,40.830002,39.139999,40.82,40.82,1674300
1/3/2019,40,40.52,38.799999,38.830002,38.830002,986900
1/4/2019,39.52,41.415001,39.419998,40.900002,40.900002,1852600
1/7/2019,40.040001,42.200001,39.5,41.689999,41.689999,2630900
1/8/2019,41.959999,42.32,40.931,42.080002,42.080002,3192600
1/9/2019,42,42.990002,41.84,42.669998,42.669998,2035800
1/10/2019,42.200001,44.599998,42.16,44.029999,44.029999,7249400
1/11/2019,43.849998,44.102001,43.099998,43.48,43.48,1656000
1/14/2019,43.130001,43.299999,42.400002,43.220001,43.220001,708600
1/15/2019,44.5,45.189999,43.5,44.990002,44.990002,2879500
