Date,Open,High,Low,Close,Adj Close,Volume
8/15/2018,136.550003,142.5,135.850006,139.199997,139.199997,4244000
8/16/2018,139.729996,141.830002,139.160004,140.050003,140.050003,1949600
8/17/2018,139.449997,142.770004,138.639999,142.649994,142.649994,1538700
8/20/2018,142.699997,144.220001,141.660004,143.289993,143.289993,2192300
8/21/2018,144,147.800003,143.850006,145.009995,145.009995,1758300
8/22/2018,144.389999,146.970001,144.389999,146.139999,146.139999,1026200
8/23/2018,146.139999,147.729996,145.199997,145.679993,145.679993,1154300
8/24/2018,147.649994,151.720001,147.5,151,151,1875100
8/27/2018,151.550003,152.800003,149.690002,151.679993,151.679993,1292100
8/28/2018,152,153.220001,150.910004,152.259995,152.259995,2610400
8/29/2018,152.979996,154.580002,152.279999,153.779999,153.779999,1754500
8/30/2018,154,155.809998,152.880005,153.809998,153.809998,1595100
8/31/2018,152.889999,155.350006,152.5,154.539993,154.539993,1471900
9/4/2018,154.419998,157.119995,152.399994,156.690002,156.690002,3368900
9/5/2018,153,155.470001,141.020004,142.210007,142.210007,6446300
9/6/2018,143.300003,146.240005,143.029999,144.520004,144.520004,2438000
9/7/2018,144,147.429993,142.139999,144.929993,144.929993,2405100
9/10/2018,145.190002,145.259995,141.410004,143.660004,143.660004,1817500
9/11/2018,143.800003,147.800003,143.259995,146.149994,146.149994,1737000
9/12/2018,147,148.419998,144.149994,148.210007,148.210007,1551200
9/13/2018,148.960007,152.179993,148.779999,150.539993,150.539993,1648000
9/14/2018,151.789993,153.080002,150.470001,151.070007,151.070007,827100
9/17/2018,151.470001,151.470001,144.539993,144.729996,144.729996,1828000
9/18/2018,145,147.360001,143.309998,143.679993,143.679993,1743600
9/19/2018,143.199997,143.770004,138.399994,140.660004,140.660004,2006600
9/20/2018,140.839996,142.380005,139.520004,141.660004,141.660004,1244000
9/21/2018,141.759995,142.789993,138.479996,138.630005,138.630005,1819100
9/24/2018,137.649994,141.639999,135.830002,141.5,141.5,1463000
9/25/2018,142,144.820007,141.25,143.789993,143.789993,1557000
9/26/2018,143.779999,145.710007,142.789993,144.509995,144.509995,1429800
9/27/2018,145.25,147.300003,145.020004,145.970001,145.970001,1054000
9/28/2018,145.929993,147.190002,144.490005,145.979996,145.979996,1122600
10/1/2018,147.190002,148.389999,145.520004,145.869995,145.869995,1614600
10/2/2018,145.5,145.649994,141.809998,142.899994,142.899994,1481800
10/3/2018,144.630005,147.479996,143.380005,145.660004,145.660004,1513500
10/4/2018,144.449997,145.610001,137.899994,139.759995,139.759995,1808900
10/5/2018,139.759995,142,135.830002,139.970001,139.970001,1430500
